title,company,location,url,source,posted_date,work_type,employment_type,tags
Crypto Trader,ELEMENTAL TERRA,worldwide,https://remoteok.com/remote-jobs/remote-crypto-trader-elemental-terra-1130867,Remoteok,2026-04-23T00:00:04+00:00,remote,part-time,"Other,Crypto,Finance,Web3,Blockchain,Defi,Edu,Bitcoin,Ethereum,Legal"
Crypto Trader,Fox GLobal Assets,worldwide,https://remoteok.com/remote-jobs/remote-crypto-trader-fox-global-assets-1131243,Remoteok,2026-04-21T08:59:17+00:00,remote,part-time,"Finance,Edu,Crypto,Legal,Junior,Web3,Blockchain,Defi,Part Time,Other,Stats,Ops"
Product Engineer,SuperPlane,🇪🇺 Europe,https://remoteok.com/remote-jobs/remote-product-engineer-superplane-1131228,Remoteok,2026-04-20T16:14:21+00:00,remote,full-time,"Senior,Engineer,Executive"
Senior Marketing Manager Paid Ads,Acebet.com,worldwide,https://remoteok.com/remote-jobs/remote-senior-marketing-manager-paid-ads-acebet-com-1129629,Remoteok,2026-04-18T00:00:14+00:00,remote,full-time,Marketing
Mid Senior AI Video Artist,EverAI,worldwide,https://remoteok.com/remote-jobs/remote-mid-senior-ai-video-artist-everai-1131288,Remoteok,2026-04-23T08:11:46+00:00,remote,full-time,"Marketing,Video,AI"
Overnight Neuroradiologist Partner Track 10p 7a MST 7 on 14 off,Diversified Radiology,unknown,https://remoteok.com/remote-jobs/remote-overnight-neuroradiologist-partner-track-10p-7a-mst-7-on-14-off-diversified-radiology-1131304,Remoteok,2026-04-24T00:01:04+00:00,remote,full-time,"System,Teaching,Assistant,Fellowship,Full-Time"
Full Stack Developer,Envision Horizons LLC,unknown,https://remoteok.com/remote-jobs/remote-full-stack-developer-envision-horizons-llc-1131303,Remoteok,2026-04-24T00:00:58+00:00,remote,full-time,"Developer,C#,Amazon,React,System,Front-End,Technical,Support,Software,Growth,Code,Web,Voice,Financial,CSS,Strategy,Senior,Reliability,Health,Recruiting,Engineering,Recruitment,Backend,Ecommerce,E-Commerce"
Bilingual Legal Personal Injury,Distro,Bogotá,https://remoteok.com/remote-jobs/remote-bilingual-legal-personal-injury-distro-1131301,Remoteok,2026-04-24T00:00:42+00:00,remote,full-time,"System,Web,Management,Legal"
Controller,MissionWired,"Washington, DC - Remote Flexibility",https://remoteok.com/remote-jobs/remote-controller-missionwired-1131300,Remoteok,2026-04-24T00:00:35+00:00,remote,full-time,"Controller,SaaS,System,Support,Software,Testing,Travel,Manager,Accounting,Financial,Finance,Management,Lead,Operations,Excel,Sales,Health"
Neurologist TX Licensed BC PT FT Fully Virtual,TeleMed2U,unknown,https://remoteok.com/remote-jobs/remote-neurologist-tx-licensed-bc-pt-ft-fully-virtual-telemed2u-1131299,Remoteok,2026-04-24T00:00:28+00:00,remote,full-time,"Management,Health,Healthcare,Neurology,Non Tech"
